METRIC_TIME__MONTH,MET_SMC_DAILY_SPEND,MET_SMC_DAILY_RATES
2020-04-01,0.0,
2020-05-01,0.0,
2020-06-01,0.06925912538232903,3780.00
2020-07-01,0.056785973257094786,3906.00
2020-08-01,0.05707480938350749,3906.00
2020-09-01,0.18423641885312558,3780.00
2020-10-01,0.0884761669839373,3906.00
2020-11-01,0.5969677958454995,3780.00
2020-12-01,0.7860934096861413,3906.00
2021-01-01,0.8192775742781738,3906.00
2021-02-01,0.9141136878818614,3528.00
2021-03-01,0.9124587497418088,3906.00
2021-04-01,0.9321705308272341,3780.00
2021-05-01,0.9435563599706482,3924.40
2021-06-01,0.9252745261994719,3798.00
2021-07-01,0.9590181960602174,3924.60
2021-08-01,1.0328967273744376,3924.60
2021-09-01,1.0389086374778496,3798.00
2021-10-01,1.159079478828714,3924.60
2021-11-01,1.230114222752329,3798.00
2021-12-01,1.4199888668949827,3929.00
2022-01-01,1.398714376570986,3929.80
2022-02-01,1.5730473136807293,3550.20
2022-03-01,1.972225640640713,3930.00
2022-04-01,6.2217604113514415,3802.00
2022-05-01,10.030515811434507,3930.00
2022-06-01,2.6237407504500663,3802.40
2022-07-01,2.6715450309095417,3929.20
2022-08-01,7.183508533365494,3929.40
2022-09-01,556.26247223896,3802.80
2022-10-01,549.4652543199946,3929.00
2022-11-01,1049.176392211843,3802.80
2022-12-01,540.0858786640285,3925.80
2023-01-01,391.8937775726074,3924.80
2023-02-01,385.4409379516303,3545.20
2023-03-01,755.8614288372556,3926.60
2023-04-01,1472.091687306925,3801.40
2023-05-01,692.2970440345078,3926.60
2023-06-01,126.78429041903144,3798.00
2023-07-01,289.06127498275987,3924.60
2023-08-01,230.47318805802917,3924.60
2023-09-01,231.1631414074335,3802.00
2023-10-01,125.04388705048227,1014.40
